Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 2,s3,2020-11-21T09:08:25.974789,2000-01-01 09:08:25,Robot,Robot,Robot,Transmission,colere,Cyril,A,Corporate,temps,temps,temps
Session 2,s3,2020-11-21T09:08:32.234355,2000-01-01 09:08:32,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s3,2020-11-21T09:08:47.728182,2000-01-01 09:08:47,Aurore,B,Presse,Feeling,colere,Cyril,A,Corporate,temps,temps,temps
Session 2,s3,2020-11-21T09:08:56.614818,2000-01-01 09:08:56,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s3,2020-11-21T09:09:04.930331,2000-01-01 09:09:04,Bastien,C,Ecolo,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
Session 2,s3,2020-11-21T09:09:05.339285,2000-01-01 09:09:05,Robot,Robot,Robot,Transmission,colere,Cyril,A,Corporate,temps,temps,temps
Session 2,s3,2020-11-21T09:09:20.167349,2000-01-01 09:09:20,Cyril,A,Corporate,Feeling,tristesse,Bastien,C,Ecolo,,,
Session 2,s3,2020-11-21T09:09:31.147880,2000-01-01 09:09:31,Bastien,C,Ecolo,Feeling,joie,comportement,comportement,comportement,Aurore,B,Presse
Session 2,s3,2020-11-21T09:09:33.576731,2000-01-01 09:09:33,Cyril,A,Corporate,Feeling,tristesse,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s3,2020-11-21T09:09:35.573104,2000-01-01 09:09:35,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,Aurore,B,Presse
Session 2,s3,2020-11-21T09:09:37.511158,2000-01-01 09:09:37,Cyril,A,Corporate,Feeling,colere,Aurore,B,Presse,,,
Session 2,s3,2020-11-21T09:09:43.694980,2000-01-01 09:09:43,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s4,2020-11-21T09:11:34.740232,2000-01-01 09:11:34,Aurore,B,Presse,Feeling,peur,theme,theme,theme,Cyril,A,Corporate
Session 2,s4,2020-11-21T09:11:52.840035,2000-01-01 09:11:52,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,theme,theme,theme
Session 2,s4,2020-11-21T09:12:02.799943,2000-01-01 09:12:02,Cyril,A,Corporate,Feeling,colere,Melanie,D,Econome,,,
Session 2,s4,2020-11-21T09:12:17.798523,2000-01-01 09:12:17,Cyril,A,Corporate,Feeling,tristesse,Melanie,D,Econome,,,
Session 2,s4,2020-11-21T09:12:28.224359,2000-01-01 09:12:28,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:12:58.918870,2000-01-01 09:12:58,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:13:29.333006,2000-01-01 09:13:29,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:13:31.597926,2000-01-01 09:13:31,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Bastien,C,Ecolo
Session 2,s4,2020-11-21T09:13:41.339351,2000-01-01 09:13:41,Cyril,A,Corporate,Feeling,colere,Bastien,C,Ecolo,,,
Session 2,s4,2020-11-21T09:13:43.799809,2000-01-01 09:13:43,Melanie,D,Econome,Feeling,joie,Aurore,B,Presse,,,
Session 2,s4,2020-11-21T09:13:44.599498,2000-01-01 09:13:44,Cyril,A,Corporate,Feeling,colere,Aurore,B,Presse,Bastien,C,Ecolo
Session 2,s4,2020-11-21T09:13:47.559990,2000-01-01 09:13:47,Cyril,A,Corporate,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s4,2020-11-21T09:13:49.551945,2000-01-01 09:13:49,Cyril,A,Corporate,Feeling,tristesse,Melanie,D,Econome,,,
Session 2,s4,2020-11-21T09:13:52.342324,2000-01-01 09:13:52,Robot,Robot,Robot,Transmission,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s4,2020-11-21T09:13:55.228652,2000-01-01 09:13:55,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Melanie,D,Econome
Session 2,s4,2020-11-21T09:13:55.439322,2000-01-01 09:13:55,Bastien,C,Ecolo,Feeling,colere,Cyril,A,Corporate,,,
